#,Feature,Mechanism (verified),Defined in,Authorable from cfg?,Scales with,Now,Needed for map-wide,Risk,Verified how
1,War controller,"ESpawnType::FactionWar spawn actor; holds FactionsPresets, UnitSpawners[19], Reinforcers[30]; LevelName=WorldMap_WP",DLC1/SpawnActorPrototypes.cfg (GUID 6C7D96DC...),EDIT yes / ADD unknown,instances,"1 actor, CNPP only","edit this one, or add per region",HIGH - new actor needs PlaceholderActorGuid + PlaceholderMapPath into the .umap; only 1 exists in whole game,grep ESpawnType::FactionWar -> 1 hit; read 253-line actor block
2,War faction roster,"FactionsParams is an INDEXED ARRAY per preset, each entry = Faction + timers/squad sizes","same actor, FactionsPresets.<Preset>.FactionsParams[]",YES,"F (linear, data-driven)","2 (FW_Duty, FW_Freedom)",append array entries per faction,LOW-MED - array length untested beyond 2,read all 6 presets: each has exactly 2 Faction entries
3,War tuning per faction,"MinTimerForAttack, MaxTimerForAttack, Min/MaxSpawnCooldown, Min/MaxReinforceCooldown, Min/MaxAttackSquadSize, bRefillEnabled","same, per FactionsParams entry",YES,F x presets,9 knobs x 2 factions x 6 presets,same knobs per added faction,LOW,see 03_fw_actor_params.csv
4,War state / phases,"FactionsPresets: named presets, bSpawnLairMarkers per preset",same actor,YES,phases x F,"6 presets (Off, War_ForDuty, War_ForFreedom, War_BeyondTheHorizon, War_LastStage_ForDuty/Freedom)",add presets per phase/aggressor,LOW,read FactionsPresets block
5,Switch war state,EQuestNodeType::FWChangePreset - PresetName string + FactionWarPlaceholder GUID,DLC1/QuestNodePrototypes.cfg,YES,phases x F,11 nodes,1 node per preset transition,"LOW - engine enum, target GUID is cfg-visible","11 uses, all -> FactionWarPlaceholder = 6C7D96DC..."
6,Register new factions,Factions block: NewFaction = BaseFaction aliasing (e.g. FW_Duty = Duty),DLC1/RelationPrototypes.cfg (refurl-inherits base),YES,F (linear),"9 aliases incl. FW_Duty, FW_Freedom",1 line per war faction,LOW,"read lines 1-14: 'FW_Duty = Duty', 'FW_Freedom = Freedom'"
7,Faction hostility (static),"Relations block: A<->B = value, compact pairwise table - NOT quest nodes",RelationPrototypes.cfg + Relations.csv,YES,"F^2 table ROWS (text, not nodes)",~40 pairs in DLC,"F(F-1)/2 rows, generated","LOW - this was my O(F^2) error: it is a table, not nodes",read Relations block: 'Mercenaries_Nord<->Duty = -800'
8,Faction hostility (runtime),"EQuestNodeType::ChangeRelationships - FirstTargetSID/SecondTargetSID, directional, one node per ordered pair",QuestNodePrototypes.cfg,YES,F^2 nodes IF used at runtime,~8 nodes in FW graph,only for mid-war flips; static table covers the rest,LOW - F=10 -> 90 nodes,found both 048A->267B and 267B->048A as separate nodes
9,Territory (lairs),Lair actors with LairPrototypeSID / ActiveLair / LairType / ALifeLairsSearchRadius,SpawnActorPrototypes/WorldMap_WP/<GUID>.cfg,EDIT yes / ADD unknown,L,342 on world map,retarget generic lairs to faction prototypes,"MED - can retune/retarget existing, adding new likely needs .umap",342 files parsed -> 04_map_lairs.csv
10,Lair faction composition,LairPrototypes: PossibleInhabitantFactions x FactionPriority x 4 player ranks x archetype weights,LairPrototypes.cfg / GenericLairPrototypes.cfg,YES,L x F x 4 x archetypes,93 prototypes; SmallLivingSpace/BigLivingSpace already list 13-23 factions,add rival factions to contested prototypes,LOW,05_lair_prototypes.csv
11,Ownership changed event,EQuestNodeType::OnLairOwnershipHasChangedEvent (engine enum),QuestNodePrototypes.cfg,YES,L x F nodes,"26, DLC only","1 per (lair,faction) watched",HIGH - never used outside DLC1; unproven on WorldMap_WP lairs,"26 uses in DLC1, 0 in base game"
12,Ownership query,EQuestConditionType::IsLairOwnedByFaction - TargetLairPlaceholder GUID + Faction literal,QuestNodePrototypes.cfg,YES,L x F,"~24 If nodes, DLC only","1 per (lair,faction) test",HIGH - same as 11; unproven on base-map lairs,0 uses in base game
13,Does ownership ever flip?,UNKNOWN - the whole design hinges on this,engine behaviour,n/a,-,unverified,must hold on base-map lairs,"CRITICAL - if base lairs never change owner, events never fire and you must drive flips yourself (NodeBridge)",NOT VERIFIED - needs in-game test
14,Spawner gating,"EQuestNodeType::ToggleLairActivity - TargetQuestGuid, Activate, ForceDespawn",QuestNodePrototypes.cfg,YES,L,481 uses in BASE game + 136 in DLC1,1-2 per lair front,LOW - already proven on base map,481 base-game uses
15,Progress state,"Global bools (Type=EGlobalVariableType::Bool, DefaultValue=False)",GlobalVariablePrototypes.cfg,YES,stages x F,6 (Stage1-3 x Duty/Freedom),S x F declarations,"LOW - F=10,S=3 -> 30 lines",read DLC01_FactionWars_Stage1_Duty_Finished
16,Squads / AI,"SpawnObjectNPCMonster, SetAIBehavior, ResetAI, SetCharacterParam, SetItemGenerator",QuestNodePrototypes.cfg,YES,L x F,23+23+7+22 nodes,generated per front,LOW,node-type census of FW graph
17,A-Life expansion tuning,"ALifeLairExpansionTime/Radius, ALifeStartSimulation, per-faction MinLairs/MaxLairs + ALifeLairExpansionBattleChance",ALifePopulationManagerFactionPrototypes.cfg,YES,F,29 base + 2 DLC factions enrolled,tune per war faction,"MED - preset referenced by nothing in cfg; engine-consumed, effect unproven",06_faction_roster.csv
18,Markers / journal / UI,"bSpawnLairMarkers (preset), ShowMarker, SetJournal, MarkerPrototypes, JournalQuestPrototypes",actor + QuestNodePrototypes.cfg,YES,L or narrative beats,"8 ShowMarker, 62 SetJournal","O(beats), not O(L*F)",LOW,node-type census
