Scenario,Lairs(L),Factions(F),QuestNodes(L*F*4),Est_MB_at_811B_median,Pct_of_base_game_nodes,Pct_of_all_shipped_nodes
DLC as shipped,6,2,48,0.0,0.1,0.0
DLC as shipped,6,3,72,0.1,0.1,0.1
DLC as shipped,6,4,96,0.1,0.1,0.1
DLC as shipped,6,6,144,0.1,0.2,0.1
DLC as shipped,6,10,240,0.2,0.3,0.2
DLC as shipped,6,29,696,0.5,0.8,0.6
one region,50,2,400,0.3,0.5,0.4
one region,50,3,600,0.5,0.7,0.5
one region,50,4,800,0.6,1.0,0.7
one region,50,6,1200,0.9,1.4,1.1
one region,50,10,2000,1.5,2.4,1.8
one region,50,29,5800,4.5,6.9,5.1
quarter map,100,2,800,0.6,1.0,0.7
quarter map,100,3,1200,0.9,1.4,1.1
quarter map,100,4,1600,1.2,1.9,1.4
quarter map,100,6,2400,1.9,2.9,2.1
quarter map,100,10,4000,3.1,4.8,3.5
quarter map,100,29,11600,9.0,13.8,10.2
half map,200,2,1600,1.2,1.9,1.4
half map,200,3,2400,1.9,2.9,2.1
half map,200,4,3200,2.5,3.8,2.8
half map,200,6,4800,3.7,5.7,4.2
half map,200,10,8000,6.2,9.5,7.1
half map,200,29,23200,17.9,27.6,20.5
all base WorldMap_WP lairs,381,2,3048,2.4,3.6,2.7
all base WorldMap_WP lairs,381,3,4572,3.5,5.4,4.0
all base WorldMap_WP lairs,381,4,6096,4.7,7.3,5.4
all base WorldMap_WP lairs,381,6,9144,7.1,10.9,8.1
all base WorldMap_WP lairs,381,10,15240,11.8,18.1,13.5
all base WorldMap_WP lairs,381,29,44196,34.2,52.6,39.0
all shippable lairs,445,2,3560,2.8,4.2,3.1
all shippable lairs,445,3,5340,4.1,6.4,4.7
all shippable lairs,445,4,7120,5.5,8.5,6.3
all shippable lairs,445,6,10680,8.3,12.7,9.4
all shippable lairs,445,10,17800,13.8,21.2,15.7
all shippable lairs,445,29,51620,39.9,61.4,45.6
