Source,File,LairPrototypeSID,RefUrl,RefKey,InitialInhabitantFaction,IsALifePoint,FactionCount,Factions,PlayerRanksCovered,ArchetypeCount,OtherPresetFields,PlacedActorCount
base,GameLite/GameData/LairPrototypes.cfg,empty,,,Duty,true,1,Duty,Newbie Experienced Veteran Master,4,(root)ID=0,0
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,Militaries,,,Militaries,true,1,Militaries,Newbie Experienced Veteran Master,17,,17
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,NeutralMSOP,,,NeutralMSOP,true,1,NeutralMSOP,Newbie Experienced Veteran Master,17,,4
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,Neutrals,,,Neutrals,true,1,Neutrals,Newbie Experienced Veteran Master,16,,17
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,Diggers,,,Diggers,true,1,Diggers,Newbie Experienced Veteran Master,16,,1
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,Varta,,,Varta,true,1,Varta,Newbie Experienced Veteran Master,20,,8
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,IkarVarta,,,IkarVarta,true,1,IkarVarta,Newbie Experienced Veteran Master,20,,1
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,EnemyVarta,,,EnemyVarta,true,1,EnemyVarta,Newbie Experienced Veteran Master,17,,0
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,Mercenaries,,,Mercenaries,true,1,Mercenaries,Newbie Experienced Veteran Master,16,,6
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,Freedom,,,Freedom,true,1,Freedom,Newbie Experienced Veteran Master,16,,5
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,Bandits,,,Bandits,true,1,Bandits,Newbie Experienced Veteran Master,16,,5
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,SultanBandits,,,SultanBandits,true,1,SultanBandits,Newbie Experienced Veteran Master,16,,1
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,NeutralBandits,,,NeutralBandits,true,1,NeutralBandits,Newbie Experienced Veteran Master,16,,0
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,Monolith,,,Monolith,true,1,Monolith,Newbie Experienced Veteran Master,16,,29
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,Duty,,,Duty,true,1,Duty,Newbie Experienced Veteran Master,20,,4
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,Noon,,,Noon,true,1,Noon,Newbie Experienced Veteran Master,12,,5
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,Scientists,,,Scientists,true,1,Scientists,Newbie Experienced Veteran Master,8,,1
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,Spark,,,Spark,true,1,Spark,Newbie Experienced Veteran Master,16,,2
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,Corpus,,,Corpus,true,1,Corpus,Newbie Experienced Veteran Master,20,,1
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,GuardNeutrals,,,Neutrals,false,1,Neutrals,Newbie Experienced Veteran Master,12,,10
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,GuardNeutrals_Sniper,,,Neutrals,false,1,Neutrals,Newbie Experienced Veteran Master,4,,0
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,GuardDiggers,,,Diggers,false,1,Diggers,Newbie Experienced Veteran Master,12,,2
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,GuardDiggers_Sniper,,,Diggers,false,1,Diggers,Newbie Experienced Veteran Master,4,,0
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,GuardVarta,,,Varta,false,1,Varta,Newbie Experienced Veteran Master,16,,7
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,GuardVarta_Sniper,,,Varta,false,1,Varta,Newbie Experienced Veteran Master,4,,1
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,GuardNoon,,,Noon,false,1,Noon,Newbie Experienced Veteran Master,12,,4
base,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg,GuardFreedom,,,Freedom,false,1,Freedom,Newbie Experienced Veteran Master,12,,9
