Source,LairPrototypeSID,Faction,FactionPriority,PlayerRank,MaxSpawnQuantity,InitialSpawnQuantityPercent,InitialSpawnQuantityRespawnTimeSeconds,MaxSpawnQuantityRespawnTimeSeconds,WipeRespawnTimeoutSeconds,Archetype,MinQuantityPerArchetype,SpawnWeight
base,empty,Duty,,Newbie,5,1.0,300.0,300.0,5.0,GeneralNPC_Duty_CloseCombat,1,1.0
base,empty,Duty,,Experienced,8,1.0,300.0,300.0,0.0,GeneralNPC_Duty_CloseCombat,1,1.0
base,empty,Duty,,Veteran,8,1.0,300.0,300.0,0.0,GeneralNPC_Duty_CloseCombat,1,1.0
base,empty,Duty,,Master,8,1.0,300.0,300.0,0.0,GeneralNPC_Duty_CloseCombat,1,1.0
base,Militaries,Militaries,3,Newbie,6,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_CloseCombat,0,0.0
base,Militaries,Militaries,3,Newbie,6,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_Recon,4,1.0
base,Militaries,Militaries,3,Newbie,6,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_Stormtrooper,0,1.0
base,Militaries,Militaries,3,Newbie,6,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_Sniper,0,0
base,Militaries,Militaries,3,Newbie,6,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_Heavy,0,0
base,Militaries,Militaries,3,Experienced,6,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_CloseCombat,0,0.0
base,Militaries,Militaries,3,Experienced,6,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_Recon,1,1.0
base,Militaries,Militaries,3,Experienced,6,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_Stormtrooper,1,1.0
base,Militaries,Militaries,3,Veteran,6,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_CloseCombat,1,1.0
base,Militaries,Militaries,3,Veteran,6,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_Recon,0,1.0
base,Militaries,Militaries,3,Veteran,6,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_Stormtrooper,3,1.0
base,Militaries,Militaries,3,Veteran,6,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_Heavy,0,1.0
base,Militaries,Militaries,3,Master,7,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_CloseCombat,1,0.5
base,Militaries,Militaries,3,Master,7,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_Recon,1,1.0
base,Militaries,Militaries,3,Master,7,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_Stormtrooper,2,1.0
base,Militaries,Militaries,3,Master,7,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_Sniper,1,0
base,Militaries,Militaries,3,Master,7,0.5,180.0,480.0,480.0,GeneralNPC_Militaries_Heavy,1,1.0
base,NeutralMSOP,NeutralMSOP,3,Newbie,6,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_CloseCombat,0,1.0
base,NeutralMSOP,NeutralMSOP,3,Newbie,6,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_Recon,5,1.0
base,NeutralMSOP,NeutralMSOP,3,Newbie,6,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_Stormtrooper,0,0
base,NeutralMSOP,NeutralMSOP,3,Newbie,6,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_Sniper,0,0
base,NeutralMSOP,NeutralMSOP,3,Newbie,6,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_Heavy,0,0
base,NeutralMSOP,NeutralMSOP,3,Experienced,6,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_CloseCombat,1,1.0
base,NeutralMSOP,NeutralMSOP,3,Experienced,6,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_Recon,1,1.0
base,NeutralMSOP,NeutralMSOP,3,Experienced,6,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_Stormtrooper,1,1.0
base,NeutralMSOP,NeutralMSOP,3,Veteran,6,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_CloseCombat,1,1.0
base,NeutralMSOP,NeutralMSOP,3,Veteran,6,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_Recon,0,1.0
base,NeutralMSOP,NeutralMSOP,3,Veteran,6,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_Stormtrooper,3,1.0
base,NeutralMSOP,NeutralMSOP,3,Veteran,6,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_Heavy,0,1.0
base,NeutralMSOP,NeutralMSOP,3,Master,7,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_CloseCombat,1,0.5
base,NeutralMSOP,NeutralMSOP,3,Master,7,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_Recon,1,1.0
base,NeutralMSOP,NeutralMSOP,3,Master,7,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_Stormtrooper,2,1.0
base,NeutralMSOP,NeutralMSOP,3,Master,7,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_Sniper,1,0
base,NeutralMSOP,NeutralMSOP,3,Master,7,0.5,180.0,480.0,480.0,GeneralNPC_NeutralMSOP_Heavy,1,1.0
base,Neutrals,Neutrals,3,Newbie,6,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_CloseCombat,3,1
base,Neutrals,Neutrals,3,Newbie,6,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_Recon,1,1
base,Neutrals,Neutrals,3,Newbie,6,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_Sniper,0,0.2
base,Neutrals,Neutrals,3,Newbie,6,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_Stormtrooper,0,0
base,Neutrals,Neutrals,3,Experienced,6,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_CloseCombat,1,1.0
base,Neutrals,Neutrals,3,Experienced,6,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_Recon,1,2.0
base,Neutrals,Neutrals,3,Experienced,6,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_Stormtrooper,1,2.0
base,Neutrals,Neutrals,3,Experienced,6,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_Sniper,0,0
base,Neutrals,Neutrals,3,Veteran,7,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_CloseCombat,1,1.0
base,Neutrals,Neutrals,3,Veteran,7,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_Recon,1,1.0
base,Neutrals,Neutrals,3,Veteran,7,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_Stormtrooper,3,1.0
base,Neutrals,Neutrals,3,Veteran,7,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_Sniper,1,0.2
base,Neutrals,Neutrals,3,Master,7,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_CloseCombat,1,1.0
base,Neutrals,Neutrals,3,Master,7,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_Recon,0,1.0
base,Neutrals,Neutrals,3,Master,7,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_Stormtrooper,3,1.0
base,Neutrals,Neutrals,3,Master,7,0.5,180.0,480.0,480.0,GeneralNPC_Neutral_Sniper,1,0.2
base,Diggers,Diggers,3,Newbie,7,0.5,6.0,30.0,30.0,GeneralNPC_Digger_CloseCombat,1,1.0
base,Diggers,Diggers,3,Newbie,7,0.5,6.0,30.0,30.0,GeneralNPC_Digger_Recon,1,1.0
base,Diggers,Diggers,3,Newbie,7,0.5,6.0,30.0,30.0,GeneralNPC_Digger_Stormtrooper,1,1.0
base,Diggers,Diggers,3,Newbie,7,0.5,6.0,30.0,30.0,GeneralNPC_Digger_Sniper,1,1.0
base,Diggers,Diggers,3,Experienced,7,0.5,180.0,480.0,480.0,GeneralNPC_Digger_CloseCombat,1,1.0
base,Diggers,Diggers,3,Experienced,7,0.5,180.0,480.0,480.0,GeneralNPC_Digger_Recon,1,1.0
base,Diggers,Diggers,3,Experienced,7,0.5,180.0,480.0,480.0,GeneralNPC_Digger_Stormtrooper,1,1.0
base,Diggers,Diggers,3,Experienced,7,0.5,180.0,480.0,480.0,GeneralNPC_Digger_Sniper,1,1.0
base,Diggers,Diggers,3,Veteran,8,0.5,180.0,480.0,480.0,GeneralNPC_Digger_CloseCombat,1,1.0
base,Diggers,Diggers,3,Veteran,8,0.5,180.0,480.0,480.0,GeneralNPC_Digger_Recon,1,1.0
base,Diggers,Diggers,3,Veteran,8,0.5,180.0,480.0,480.0,GeneralNPC_Digger_Stormtrooper,1,1.0
base,Diggers,Diggers,3,Veteran,8,0.5,180.0,480.0,480.0,GeneralNPC_Digger_Sniper,1,1.0
base,Diggers,Diggers,3,Master,10,0.5,180.0,480.0,480.0,GeneralNPC_Digger_CloseCombat,1,1.0
base,Diggers,Diggers,3,Master,10,0.5,180.0,480.0,480.0,GeneralNPC_Digger_Recon,1,1.0
base,Diggers,Diggers,3,Master,10,0.5,180.0,480.0,480.0,GeneralNPC_Digger_Stormtrooper,1,1.0
base,Diggers,Diggers,3,Master,10,0.5,180.0,480.0,480.0,GeneralNPC_Digger_Sniper,1,1.0
base,Varta,Varta,3,Newbie,6,0.5,180.0,480.0,480.0,GeneralNPC_Varta_CloseCombat,1,1.0
