Source,File,PresetSID,ALifeLairExpansionTime,ALifeLairExpansionRadius,ALifeStartSimulation,Faction,ALifeLairExpansionBattleChance,Goal_TacticType,Goal_MinLairs,Goal_MaxLairs,OtherFactionFields
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Bandits,50,EALifeFactionGoalType::Aggressive,1,5,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Bandits,50,EALifeFactionGoalType::Normal,6,20,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Bandits,50,EALifeFactionGoalType::Defensive,21,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,SultanBandits,50,EALifeFactionGoalType::Aggressive,1,5,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,SultanBandits,50,EALifeFactionGoalType::Normal,6,20,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,SultanBandits,50,EALifeFactionGoalType::Defensive,21,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Diggers,50,EALifeFactionGoalType::Aggressive,1,3,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Diggers,50,EALifeFactionGoalType::Normal,3,10,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Diggers,50,EALifeFactionGoalType::Defensive,11,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Monolith,50,EALifeFactionGoalType::Aggressive,1,4,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Monolith,50,EALifeFactionGoalType::Normal,5,25,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Monolith,50,EALifeFactionGoalType::Defensive,26,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Noon,50,EALifeFactionGoalType::Aggressive,1,3,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Noon,50,EALifeFactionGoalType::Normal,4,12,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Noon,50,EALifeFactionGoalType::Defensive,13,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Neutrals,50,EALifeFactionGoalType::Aggressive,1,4,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Neutrals,50,EALifeFactionGoalType::Normal,5,20,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Neutrals,50,EALifeFactionGoalType::Defensive,21,900,
base,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg,Default,50.f,500000.f,48.0f,Militaries,50,EALifeFactionGoalType::Aggressive,1,3,
