Metric,Value,Unit,Method,SourcePath
total root quest nodes - Base,84028,nodes,python3: count lines matching ^(SID) : struct.begin at column 0 in each QuestNodePrototypes cfg (scratchpad/parse.py),GameLite/GameData/QuestNodePrototypes/ + GameLite/GameData/QuestNodePrototypes.cfg
total root quest nodes - DLC1,28225,nodes,python3: count lines matching ^(SID) : struct.begin at column 0 in each QuestNodePrototypes cfg (scratchpad/parse.py),DLCGameData/DLC1/QuestNodePrototypes.cfg
total root quest nodes - Deluxe,642,nodes,python3: count lines matching ^(SID) : struct.begin at column 0 in each QuestNodePrototypes cfg (scratchpad/parse.py),DLCGameData/Deluxe/QuestNodePrototypes.cfg
total root quest nodes - Ultimate,209,nodes,python3: count lines matching ^(SID) : struct.begin at column 0 in each QuestNodePrototypes cfg (scratchpad/parse.py),DLCGameData/Ultimate/QuestNodePrototypes.cfg
total root quest nodes - PreOrder,93,nodes,python3: count lines matching ^(SID) : struct.begin at column 0 in each QuestNodePrototypes cfg (scratchpad/parse.py),DLCGameData/PreOrder/QuestNodePrototypes.cfg
total root quest nodes - whole game,113197,nodes,python3: count lines matching ^(SID) : struct.begin at column 0 in each QuestNodePrototypes cfg (scratchpad/parse.py),all of the above
quest node data bytes - Base,70068436,bytes,python3: sum(os.path.getsize) over the cfg files,GameLite/GameData/QuestNodePrototypes/ + GameLite/GameData/QuestNodePrototypes.cfg
quest node data lines - Base,2360364,lines,"python3: len(text.decode(""utf-8-sig"").split(""\n"")) minus trailing empty, per file, summed",GameLite/GameData/QuestNodePrototypes/ + GameLite/GameData/QuestNodePrototypes.cfg
quest node cfg files - Base,1296,files,python3: len(list of .cfg files parsed),GameLite/GameData/QuestNodePrototypes/ + GameLite/GameData/QuestNodePrototypes.cfg
quest node data bytes - DLC1,26839580,bytes,python3: sum(os.path.getsize) over the cfg files,DLCGameData/DLC1/QuestNodePrototypes.cfg
quest node data lines - DLC1,782135,lines,"python3: len(text.decode(""utf-8-sig"").split(""\n"")) minus trailing empty, per file, summed",DLCGameData/DLC1/QuestNodePrototypes.cfg
quest node cfg files - DLC1,1,files,python3: len(list of .cfg files parsed),DLCGameData/DLC1/QuestNodePrototypes.cfg
quest node data bytes - Deluxe,574666,bytes,python3: sum(os.path.getsize) over the cfg files,DLCGameData/Deluxe/QuestNodePrototypes.cfg
quest node data lines - Deluxe,17373,lines,"python3: len(text.decode(""utf-8-sig"").split(""\n"")) minus trailing empty, per file, summed",DLCGameData/Deluxe/QuestNodePrototypes.cfg
quest node cfg files - Deluxe,1,files,python3: len(list of .cfg files parsed),DLCGameData/Deluxe/QuestNodePrototypes.cfg
quest node data bytes - Ultimate,194050,bytes,python3: sum(os.path.getsize) over the cfg files,DLCGameData/Ultimate/QuestNodePrototypes.cfg
quest node data lines - Ultimate,5648,lines,"python3: len(text.decode(""utf-8-sig"").split(""\n"")) minus trailing empty, per file, summed",DLCGameData/Ultimate/QuestNodePrototypes.cfg
quest node cfg files - Ultimate,1,files,python3: len(list of .cfg files parsed),DLCGameData/Ultimate/QuestNodePrototypes.cfg
quest node data bytes - PreOrder,86197,bytes,python3: sum(os.path.getsize) over the cfg files,DLCGameData/PreOrder/QuestNodePrototypes.cfg
quest node data lines - PreOrder,2482,lines,"python3: len(text.decode(""utf-8-sig"").split(""\n"")) minus trailing empty, per file, summed",DLCGameData/PreOrder/QuestNodePrototypes.cfg
quest node cfg files - PreOrder,1,files,python3: len(list of .cfg files parsed),DLCGameData/PreOrder/QuestNodePrototypes.cfg
quest node data bytes - whole game,97762929,bytes,sum of the per-source byte rows,all QuestNodePrototypes cfg
quest node data lines - whole game,3168002,lines,sum of the per-source line rows,all QuestNodePrototypes cfg
average bytes per quest node - whole game,863.63,bytes/node,"python3 statistics.mean over per-node byte spans (node header line through its closing struct.end, CRLF counted as 2)",all QuestNodePrototypes cfg
median bytes per quest node - whole game,706,bytes/node,python3 statistics.median over the same per-node byte spans,all QuestNodePrototypes cfg
average bytes per quest node - Base,833.84,bytes/node,python3 statistics.mean over per-node byte spans,GameLite/GameData/QuestNodePrototypes/ + GameLite/GameData/QuestNodePrototypes.cfg
median bytes per quest node - Base,683.0,bytes/node,python3 statistics.median over per-node byte spans,GameLite/GameData/QuestNodePrototypes/ + GameLite/GameData/QuestNodePrototypes.cfg
average bytes per quest node - DLC1,950.91,bytes/node,python3 statistics.mean over per-node byte spans,DLCGameData/DLC1/QuestNodePrototypes.cfg
median bytes per quest node - DLC1,782,bytes/node,python3 statistics.median over per-node byte spans,DLCGameData/DLC1/QuestNodePrototypes.cfg
