Source,File,PresetSID,AliasFaction,BaseFaction,RefUrl,RefKey
base,GameLite/GameData/RelationPrototypes.cfg,Default,Humanoid,,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Player,,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Bandits,Humanoid,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Monolith,Humanoid,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,FreeStalkers,Humanoid,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Army,Humanoid,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Duty,Army,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Freedom,FreeStalkers,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Varta,Army,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Neutrals,FreeStalkers,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Militaries,Army,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Noon,FreeStalkers,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Scientists,FreeStalkers,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Mercenaries,Army,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Flame,FreeStalkers,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Law,Army,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Spark,FreeStalkers,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Corpus,Army,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,WildBandits,Bandits,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,GarmataMilitaries,Militaries,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,SphereMilitaries,Militaries,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,NeutralBandits,Bandits,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,VaranBandits,Bandits,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,RooseveltBandits,Bandits,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,ShahBandits,Bandits,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,LokotBandits,Bandits,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,DepoBandits,Bandits,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,DepoVictims,Humanoid,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,DocentBandits,Bandits,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,VaranStashBandits,VaranBandits,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Diggers,Neutrals,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,KosakBandits,Bandits,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,AzimutVarta,Varta,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,UdavMercenaries,Mercenaries,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,SafariHunters,Humanoid,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,AzimuthMilitaries,Militaries,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,SultanBandits,Bandits,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,ShevchenkoStalkers,Neutrals,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,VartaLesnichestvo,Varta,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,SparkLesnichestvo,Spark,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,IkarVarta,Varta,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,KabanBandits,Bandits,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,CrazyGuardians,Spark,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,ArenaEnemy,Humanoid,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,ArenaFriend,Humanoid,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,DrozdMilitaries,Militaries,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,EnemyVarta,Varta,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,NeutralMSOP,Militaries,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,YanovCorpus,Corpus,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,MoleStalkers,Neutrals,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Mutant,,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Controller,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Poltergeist,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Bloodsucker,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Zombie,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Chimera,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Burer,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Pseudogiant,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Anamorph,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Sinister,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Pseudobear,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Snork,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Pseudodog,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Boar,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Flesh,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Beaver,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Ratwolf,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Deer,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Rat,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Tushkan,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Stickman,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Blinddog,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Bayun,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,CorpusStorm,Corpus,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,DocileLabMutants,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,VartaSIRCAA,Varta,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,YantarZombie,Zombie,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,FriendlyBlinddog,Blinddog,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,Lessy,Blinddog,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,AlliedMutants,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,NoahLesya,Neutrals,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,KlenMercenaries,Mercenaries,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,SIRCAA_Scientist,Scientists,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,MALACHITE_Scientist,Scientists,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,NoonFaustians,Noon,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,SQ89_SidorMercs,Bandits,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,ScarBoss_Faction,Spark,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,KorshunovBoss_Faction,Varta,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,StrelokBoss_Faction,Mutant,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,FaustBoss_Faction,Monolith,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,SQ72_Varta,Humanoid,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,CNPP_Archanomaly_PhantomZombie,ArenaFriend,,
base,GameLite/GameData/RelationPrototypes.cfg,Default,MoldyBlinddog,Blinddog,,
DLC1,DLCGameData/DLC1/RelationPrototypes.cfg,DefaultDLC,MykluhaFreedom,FreeStalkers,../../GameData/RelationPrototypes.cfg,Default
DLC1,DLCGameData/DLC1/RelationPrototypes.cfg,DefaultDLC,Zombie_CNPP,Zombie,../../GameData/RelationPrototypes.cfg,Default
DLC1,DLCGameData/DLC1/RelationPrototypes.cfg,DefaultDLC,ZulusBoss_Faction,Duty,../../GameData/RelationPrototypes.cfg,Default
DLC1,DLCGameData/DLC1/RelationPrototypes.cfg,DefaultDLC,FW_Duty,Duty,../../GameData/RelationPrototypes.cfg,Default
DLC1,DLCGameData/DLC1/RelationPrototypes.cfg,DefaultDLC,FW_Freedom,Freedom,../../GameData/RelationPrototypes.cfg,Default
DLC1,DLCGameData/DLC1/RelationPrototypes.cfg,DefaultDLC,Object68,Snork,../../GameData/RelationPrototypes.cfg,Default
DLC1,DLCGameData/DLC1/RelationPrototypes.cfg,DefaultDLC,Duty_IHub,Duty,../../GameData/RelationPrototypes.cfg,Default
DLC1,DLCGameData/DLC1/RelationPrototypes.cfg,DefaultDLC,Freedom_IHub,Freedom,../../GameData/RelationPrototypes.cfg,Default
DLC1,DLCGameData/DLC1/RelationPrototypes.cfg,DefaultDLC,Mercenaries_Nord,Mercenaries,../../GameData/RelationPrototypes.cfg,Default
