Source,File,Representation,FactionA,FactionB,Operator,Value,Notes
base,GameLite/GameData/RelationPrototypes.cfg,struct,Army,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,FreeStalkers,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Mutant,Player,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Humanoid,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AlliedMutants,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ArenaEnemy,Player,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Bandits,Player,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Monolith,Player,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Duty,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Freedom,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Varta,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Neutrals,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Militaries,Player,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Noon,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Scientists,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Mercenaries,Player,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Spark,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Corpus,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NeutralBandits,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VaranBandits,Player,<->,-600,
base,GameLite/GameData/RelationPrototypes.cfg,struct,RooseveltBandits,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ShahBandits,Player,<->,-600,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DepoBandits,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DocentBandits,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SultanBandits,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Diggers,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,UdavMercenaries,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ShevchenkoStalkers,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SIRCAA_Scientist,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,MALACHITE_Scientist,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NoonFaustians,Player,<->,-600,
base,GameLite/GameData/RelationPrototypes.cfg,struct,IkarVarta,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NeutralMSOP,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,EnemyVarta,Player,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Law,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Flame,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DepoVictims,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SphereMilitaries,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VaranStashBandits,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SafariHunters,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,GarmataMilitaries,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AzimutVarta,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AzimuthMilitaries,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,KabanBandits,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,YanovCorpus,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VartaLesnichestvo,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SparkLesnichestvo,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,CrazyGuardians,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,KlenMercenaries,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DrozdMilitaries,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,LokotBandits,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,FriendlyBlinddog,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,KosakBandits,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,MoleStalkers,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,SQ72_Varta,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VartaSIRCAA,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NoahLesya,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,YantarZombie,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,DocileLabMutants,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Lessy,Player,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ArenaFriend,Player,<->,800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,FreeStalkers,Army,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Mutant,Army,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Humanoid,Army,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AlliedMutants,Army,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ArenaEnemy,Army,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VartaSIRCAA,Army,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NoahLesya,Army,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ArenaFriend,Army,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,FreeStalkers,FreeStalkers,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Mutant,FreeStalkers,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Humanoid,FreeStalkers,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,AlliedMutants,FreeStalkers,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ArenaEnemy,FreeStalkers,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,Bandits,FreeStalkers,<->,-800,
base,GameLite/GameData/RelationPrototypes.cfg,struct,VartaSIRCAA,FreeStalkers,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,NoahLesya,FreeStalkers,<->,0,
base,GameLite/GameData/RelationPrototypes.cfg,struct,ArenaFriend,FreeStalkers,<->,0,
