EnumFamily,EnumValue,BaseGameCount,DLC1Count,DeluxeCount,UltimateCount,PreOrderCount,TotalCount,ExampleNodeSID,ExampleFile
EAIMovementPose,Stand,50,7,0,0,0,57,AI2QuestBP_FollowPlayer,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EApplyRestrictionType,LeaveSame,128,8,0,0,0,136,AI_QTC_LookAt_BP_NPCPlaceholder,GameLite/GameData/QuestNodePrototypes/AI_QTC.cfg
EAttractionPointType,FollowCharacterBone,63,4,0,0,0,67,AI_QTC_LookAt_BP_NPCPlaceholder8,GameLite/GameData/QuestNodePrototypes/AI_QTC.cfg
EAttractionPointType,StaticLocation,54,4,0,0,0,58,AI_QTC_LookAt_BP_NPCPlaceholder,GameLite/GameData/QuestNodePrototypes/AI_QTC.cfg
EAttractionPointType,ExitLookAt,10,0,0,0,0,10,E05_MQ01_LookAt_BP_NPC_VartaAlfa1_1,GameLite/GameData/QuestNodePrototypes/E05_MQ01.cfg
EAttractionPointType,FollowObject,1,0,0,0,0,1,SQ01_LookAt_DimaNistak,GameLite/GameData/QuestNodePrototypes/SQ01.cfg
EBehaviorType,Stay,4504,1779,6,0,0,6289,AI2QuestBP_Stay,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EBehaviorType,Kill,903,547,1,0,0,1451,A-life_interrupts_SetAIBehavior_BP_NPCPlaceholder72_1,GameLite/GameData/QuestNodePrototypes/A-life_interrupts.cfg
EBehaviorType,MoveTo,607,58,2,0,0,667,AI2QuestBPOLD_MoveNPCToLocation_not_set,GameLite/GameData/QuestNodePrototypes/AI2QuestBPOLD.cfg
EBehaviorType,Patrol,86,26,0,0,0,112,ConcretePlant_Hub_SetAIBehavior_BP_NPCPlaceholder7,GameLite/GameData/QuestNodePrototypes/ConcretePlant_Hub.cfg
EBehaviorType,ShootTarget,50,42,0,0,0,92,E01_MQ01_SetAIBehavior_BP_NPC_AliveMilitary_2,GameLite/GameData/QuestNodePrototypes/E01_MQ01.cfg
EBehaviorType,Escort,44,2,0,0,0,46,A-life_interrupts_SetAIBehavior_BP_NPCPlaceholder71,GameLite/GameData/QuestNodePrototypes/A-life_interrupts.cfg
EBehaviorType,Follow,25,2,0,0,0,27,AI2QuestBP_FollowPlayer,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EBehaviorType,Flee,13,0,0,0,0,13,AI2QuestBP_Flee,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EBehaviorType,Rest,7,5,0,0,0,12,AI2QuestBP_Rest,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EBehaviorType,UseAbility,8,0,0,0,0,8,Arch_Bossfight_Faust_SetAIBehavior_BP_NPC_Faust_mutant,GameLite/GameData/QuestNodePrototypes/Arch_Bossfight_Faust.cfg
EBehaviorType,Loot,0,6,0,0,0,6,DLC01_MQ11_B03_C02_SetAIBehavior_BP_NPC_DLC01_MQ11_B03_Golub_Phase3_Loot_BeforeTrigger,DLCGameData/DLC1/QuestNodePrototypes.cfg
EBehaviorType,Guard,4,0,0,0,0,4,AI2QuestBP_GuardPlayer_1,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EBehaviorType,Sleep,3,0,0,0,0,3,AI2QuestBP_Sleep,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EBehaviorType,Panic,2,0,0,0,0,2,AI2QuestBP_Panic,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EBehaviorType,Berserk,1,0,0,0,0,1,AI2QuestBP_Berserk,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EBehaviorType,Confused,1,0,0,0,0,1,AI2QuestBP_Confused,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EBehaviorType,Pacifist,1,0,0,0,0,1,AI2QuestBP_Pacifist,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg
EBrokenGameDataFilter,UnderDraftComment,1451,320,21,6,7,1805,ANCQ01_SetCharacterParam_BP_Squad_ANCQ01_BlindDogs,GameLite/GameData/QuestNodePrototypes/ANCQ01.cfg
EChangeValueMode,Set,1821,1284,68,41,24,3238,ANCQ01_SetCharacterParam_BP_Squad_ANCQ01_BlindDogs,GameLite/GameData/QuestNodePrototypes/ANCQ01.cfg
EChangeValueMode,Add,195,74,8,5,3,285,E03_MQ02_SetGlobalVariable_E03_MQ02_VartaHateLevel,GameLite/GameData/QuestNodePrototypes/E03_MQ02.cfg
EChangeValueMode,Subtract,58,6,13,6,4,87,E01_MQ01_Damage_3HP,GameLite/GameData/QuestNodePrototypes/E01_MQ01.cfg
EChangeValueMode,Divide,0,3,0,0,0,3,DLC01_MQ02_SetCharacterParam_BP_NPC_DLC01_MQ02_Polter_1,DLCGameData/DLC1/QuestNodePrototypes.cfg
EConditionCheckType,And,8260,2470,71,30,8,10839,ANCQ01_Technical_DogAttack_Pin_0,GameLite/GameData/QuestNodePrototypes/ANCQ01.cfg
EConditionCheckType,Or,703,297,5,3,1,1009,ANCQ01_Technical_DogsInjured_Pin_0,GameLite/GameData/QuestNodePrototypes/ANCQ01.cfg
EConditionComparance,Equal,8485,3002,156,95,27,11765,ANCQ01_Technical_DogAttack_Pin_0,GameLite/GameData/QuestNodePrototypes/ANCQ01.cfg
EConditionComparance,LessOrEqual,3823,860,33,1,14,4731,A-life_interrupts_If,GameLite/GameData/QuestNodePrototypes/A-life_interrupts.cfg
EConditionComparance,NotEqual,3195,1057,23,13,0,4288,ANCQ01_Technical_DogAttack_Pin_0,GameLite/GameData/QuestNodePrototypes/ANCQ01.cfg
EConditionComparance,GreaterOrEqual,2264,563,15,0,4,2846,ANCQ01_Technical_End_Pin_0,GameLite/GameData/QuestNodePrototypes/ANCQ01.cfg
EConditionComparance,Less,513,42,1,1,0,557,E01_MQ01_If,GameLite/GameData/QuestNodePrototypes/E01_MQ01.cfg
EConditionComparance,Greater,143,17,1,1,1,163,C_E09_MQ01_TheEnemyUnseen_Preloader_Repeat_Pin_0,GameLite/GameData/QuestNodePrototypes/C_E09_MQ01_TheEnemyUnseen_Preloader.cfg
EConsumableType,None,2,0,0,0,0,2,DevTestMap_TestTutor_1_Pin_0,GameLite/GameData/QuestNodePrototypes/DevTestMap.cfg
EDialogEventType,DefeatComment,4,4,0,0,0,8,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_Start,2,5,0,0,0,7,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,HitReaction_AverageDeath,3,4,0,0,0,7,SQ03_DisableNPCBark_BP_NPC_SQ03_Mastif,GameLite/GameData/QuestNodePrototypes/SQ03.cfg
EDialogEventType,HitReaction_Melee,0,7,0,0,0,7,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Combat_Action_EnemyGrenade,1,5,0,0,0,6,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_Action_FriendlyGrenade,1,5,0,0,0,6,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_EnemyFound,1,5,0,0,0,6,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_SearchEnd,1,5,0,0,0,6,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_Wounded_Knocked,1,5,0,0,0,6,EQ65_DisableNPCBark_BP_NPC_EQ65_Piavka,GameLite/GameData/QuestNodePrototypes/EQ65.cfg
EDialogEventType,HitReaction_Explosion,0,6,0,0,0,6,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,HitReaction_WheezingDeath,2,4,0,0,0,6,EQ65_DisableNPCBark_BP_NPC_EQ65_Piavka,GameLite/GameData/QuestNodePrototypes/EQ65.cfg
EDialogEventType,Combat_Action_Reload,1,4,0,0,0,5,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_EnemySearch,1,4,0,0,0,5,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_Over,1,4,0,0,0,5,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,HitReaction_AgonyDeath,1,4,0,0,0,5,SQ88_DisableNPCBark_BP_NPC_SQ88_Novak,GameLite/GameData/QuestNodePrototypes/SQ88.cfg
EDialogEventType,HitReaction_InstaDeath,1,4,0,0,0,5,SQ88_DisableNPCBark_BP_NPC_SQ88_Novak,GameLite/GameData/QuestNodePrototypes/SQ88.cfg
EDialogEventType,Interact_Busy,2,3,0,0,0,5,SQ03_DisableNPCBark_BP_NPC_SQ03_Mastif,GameLite/GameData/QuestNodePrototypes/SQ03.cfg
EDialogEventType,Chatter,1,3,0,0,0,4,E08_MQ03_DisableNPCBark_BP_NPC_Dvupalov,GameLite/GameData/QuestNodePrototypes/E08_MQ03.cfg
EDialogEventType,Combat_Action_FriendlyDead,0,4,0,0,0,4,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Combat_Threats_AlertedSearchEnd,1,3,0,0,0,4,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_Zombie_Moan,2,2,0,0,0,4,E05_SQ01_NPCBark_BP_NPCPlaceholder_E05_SQ01_VartaGuy2,GameLite/GameData/QuestNodePrototypes/E05_SQ01.cfg
EDialogEventType,HitReaction_Bullet,0,4,0,0,0,4,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,HitReaction_CarouselDeath,1,3,0,0,0,4,SQ88_DisableNPCBark_BP_NPC_SQ88_Novak,GameLite/GameData/QuestNodePrototypes/SQ88.cfg
EDialogEventType,Combat_Action_Cover,1,2,0,0,0,3,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_Action_Detour,1,2,0,0,0,3,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_Action_EnemyDead,0,3,0,0,0,3,DLC01_MQ03_DisableNPCBark_BP_NPC_DLC01_MQ03_Workshop_Zulus,DLCGameData/DLC1/QuestNodePrototypes.cfg
EDialogEventType,Combat_Action_EnemyHit,1,2,0,0,0,3,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_Action_FireSupression,1,2,0,0,0,3,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_Action_Flank,1,2,0,0,0,3,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_Action_FriendlyHit,1,2,0,0,0,3,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_Action_Move,1,2,0,0,0,3,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_EnemyRetreat,1,2,0,0,0,3,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_SelfRetreat,1,2,0,0,0,3,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_Threats_AlertedSearch,1,2,0,0,0,3,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_Threats_EnemySearch,1,2,0,0,0,3,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_Threats_ThreatDetected,1,2,0,0,0,3,E04_MQ02_DisableNPCBark_BP_NPC_Azimuth_Foma,GameLite/GameData/QuestNodePrototypes/E04_MQ02.cfg
EDialogEventType,Combat_Wounded_GoingToHeal,1,2,0,0,0,3,EQ65_DisableNPCBark_BP_NPC_EQ65_Piavka,GameLite/GameData/QuestNodePrototypes/EQ65.cfg
