Source,File,NodeSID,QuestSID,NodeType,ConditionType,EventType,TargetQuestGuid,TargetLairPlaceholder,FactionWarPlaceholder,Faction,PresetName,Activate,ForceDespawn,ConnectionCount,TargetResolvedIn,TargetLevelName,AllOtherFields
Base,GameLite/GameData/QuestNodePrototypes/ANCQ01.cfg,ANCQ01_Protect_BP_EQ118_DeadbodyHvorost,ANCQ01,ProtectLairNPCSquadItem,,,3ACE3E9E4E342EF7541BA09BA6E8997B,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/SmallZone_ANC_LogicLevel_WP/3ACE3E9E4E342EF7541BA09BA6E8997B.cfg,WorldMap_WP/SmallZone_ANC_LogicLevel_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/ANCQ01_P.cfg,ANCQ01_P_Protect_SpawnObject_HvorostContainer,ANCQ01_P,ProtectLairNPCSquadItem,,,A236619F41D95105C8E3E7AED855058D,,,,,,,2,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/SmallZone_ANC_LogicLevel_WP/A236619F41D95105C8E3E7AED855058D.cfg,WorldMap_WP/SmallZone_ANC_LogicLevel_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/ANCQ02.cfg,ANCQ02_Protect_ANCQ02_DeadLeshyi,ANCQ02,ProtectLairNPCSquadItem,,,E016BB8445651B2001B9D8A0CCB31CA4,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/SmallZone_ANC_LogicLevel_WP/E016BB8445651B2001B9D8A0CCB31CA4.cfg,WorldMap_WP/SmallZone_ANC_LogicLevel_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/ANCQ03_P.cfg,ANCQ03_P_ToggleLairActivity,ANCQ03_P,ToggleLairActivity,,,38475DEF4B3BF46D9FF46296B3EC08F0,,,,,true,false,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/38475DEF4B3BF46D9FF46296B3EC08F0.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/ANCQ03_P.cfg,ANCQ03_P_ToggleLairActivity_1,ANCQ03_P,ToggleLairActivity,,,38475DEF4B3BF46D9FF46296B3EC08F0,,,,,false,true,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/38475DEF4B3BF46D9FF46296B3EC08F0.cfg,WorldMap_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/ANCQ04.cfg,ANCQ04_Protect_BP_ANCQ04_DeadbodyLokot,ANCQ04,ProtectLairNPCSquadItem,,,A27441074958EC684144698A9B3C604B,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/SmallZone_ANC_LogicLevel_WP/A27441074958EC684144698A9B3C604B.cfg,WorldMap_WP/SmallZone_ANC_LogicLevel_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/ANCQ06.cfg,ANCQ06_Protect_BP_VAdyaPDA,ANCQ06,ProtectLairNPCSquadItem,,,167CB69744BF44EB98673186520484C5,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/SmallZone_ANC_LogicLevel_WP/167CB69744BF44EB98673186520484C5.cfg,WorldMap_WP/SmallZone_ANC_LogicLevel_WP,
Base,GameLite/GameData/QuestNodePrototypes/ANCQ06_P.cfg,ANCQ06_P_ProtectLairNPCSquadItem_BP_ItemPlaceholder_ANCQ06_Medkit,ANCQ06_P,ProtectLairNPCSquadItem,,,07C137B849FA083F9C2A1EA0C903A349,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/SmallZone_ANC_LogicLevel_WP/07C137B849FA083F9C2A1EA0C903A349.cfg,WorldMap_WP/SmallZone_ANC_LogicLevel_WP,
Base,GameLite/GameData/QuestNodePrototypes/ANCQ07.cfg,ANCQ07_Protect_BP_ANCQ04_DeadbodyRyabina,ANCQ07,ProtectLairNPCSquadItem,,,35C1C7CD4B32BD6547928B974292B841,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/SmallZone_ANC_LogicLevel_WP/35C1C7CD4B32BD6547928B974292B841.cfg,WorldMap_WP/SmallZone_ANC_LogicLevel_WP,
Base,GameLite/GameData/QuestNodePrototypes/ANCQ08.cfg,ANCQ08_Protect_BP_FishermanNote,ANCQ08,ProtectLairNPCSquadItem,,,996DFBF8499DAAD0F2D4969FCC92ACFC,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/SmallZone_ANC_LogicLevel_WP/996DFBF8499DAAD0F2D4969FCC92ACFC.cfg,WorldMap_WP/SmallZone_ANC_LogicLevel_WP,
Base,GameLite/GameData/QuestNodePrototypes/ANCQ10.cfg,ANCQ10_Protect_BP_Item_ANCQ10_MedicNote,ANCQ10,ProtectLairNPCSquadItem,,,58BC957C49CA3FCC70A9AB812F37EFE3,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/SmallZone_ANC_LogicLevel_WP/58BC957C49CA3FCC70A9AB812F37EFE3.cfg,WorldMap_WP/SmallZone_ANC_LogicLevel_WP,
Base,GameLite/GameData/QuestNodePrototypes/ANCQ12.cfg,ANCQ12_Protect_BP_ANCQ12Note,ANCQ12,ProtectLairNPCSquadItem,,,A6C489F04C6D96DE196607BF8318C4EC,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/SmallZone_ANC_LogicLevel_WP/A6C489F04C6D96DE196607BF8318C4EC.cfg,WorldMap_WP/SmallZone_ANC_LogicLevel_WP,
Base,GameLite/GameData/QuestNodePrototypes/ANCQ13.cfg,ANCQ13_Protect_BP_ANCQ13_PDA,ANCQ13,ProtectLairNPCSquadItem,,,68D4F4484A12C0490E36B6B3157C2B67,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/SmallZone_ANC_LogicLevel_WP/68D4F4484A12C0490E36B6B3157C2B67.cfg,WorldMap_WP/SmallZone_ANC_LogicLevel_WP,
Base,GameLite/GameData/QuestNodePrototypes/ANCQ15.cfg,ANCQ15_Protect_BP_ANCQ15_DeadbodyGrusha,ANCQ15,ProtectLairNPCSquadItem,,,FBB0CE6E440935863EA517846956EDEF,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/Garbage_ANC_LogicLevel_WP/FBB0CE6E440935863EA517846956EDEF.cfg,WorldMap_WP/Garbage_ANC_LogicLevel_WP,
Base,GameLite/GameData/QuestNodePrototypes/ANCQ16.cfg,ANCQ16_Protect_BP_ANCQ16_Deadbody,ANCQ16,ProtectLairNPCSquadItem,,,B2BBDD4D4A50BB6874FD32837A8F79AE,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/Garbage_ANC_LogicLevel_WP/B2BBDD4D4A50BB6874FD32837A8F79AE.cfg,WorldMap_WP/Garbage_ANC_LogicLevel_WP,
Base,GameLite/GameData/QuestNodePrototypes/ANCQ17.cfg,ANCQ17_Protect_BP_ANCQ12Note,ANCQ17,ProtectLairNPCSquadItem,,,95C6358B4CB330455D3767BEC50B6E15,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/Garbage_ANC_LogicLevel_WP/95C6358B4CB330455D3767BEC50B6E15.cfg,WorldMap_WP/Garbage_ANC_LogicLevel_WP,
Base,GameLite/GameData/QuestNodePrototypes/ANCQ18.cfg,ANCQ18_Protect_BP_IOUNote,ANCQ18,ProtectLairNPCSquadItem,,,04F08E684E0B8ADD68CEEAA47D2716B0,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/Garbage_ANC_LogicLevel_WP/04F08E684E0B8ADD68CEEAA47D2716B0.cfg,WorldMap_WP/Garbage_ANC_LogicLevel_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/ANCQ18.cfg,ANCQ18_Protect_BP_IOUNote_1,ANCQ18,ProtectLairNPCSquadItem,,,04F08E684E0B8ADD68CEEAA47D2716B0,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/Garbage_ANC_LogicLevel_WP/04F08E684E0B8ADD68CEEAA47D2716B0.cfg,WorldMap_WP/Garbage_ANC_LogicLevel_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/ANCQ19.cfg,ANCQ19_Protect_BP_BanditDiary,ANCQ19,ProtectLairNPCSquadItem,,,CE730B7048FE0075762EB58E9C2D48BB,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/Garbage_ANC_LogicLevel_WP/CE730B7048FE0075762EB58E9C2D48BB.cfg,WorldMap_WP/Garbage_ANC_LogicLevel_WP,NodePrototypeVersion=1
Base,GameLite/GameData/QuestNodePrototypes/ANCQ20.cfg,ANCQ20_Protect_BP_FishermanNote,ANCQ20,ProtectLairNPCSquadItem,,,6D10A7974C4BAC8412B3889980E6D2FE,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/Swamp_ANC_LogicLevel_WP/6D10A7974C4BAC8412B3889980E6D2FE.cfg,WorldMap_WP/Swamp_ANC_LogicLevel_WP,
Base,GameLite/GameData/QuestNodePrototypes/ANCQ21.cfg,ANCQ21_Protect_BP_FishermanNote,ANCQ21,ProtectLairNPCSquadItem,,,0507F5AA44B27D2EE3B20E9FEE86AE18,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/Swamp_ANC_LogicLevel_WP/0507F5AA44B27D2EE3B20E9FEE86AE18.cfg,WorldMap_WP/Swamp_ANC_LogicLevel_WP,
Base,GameLite/GameData/QuestNodePrototypes/ANCQ22.cfg,ANCQ22_Protect_BP_FishermanNote,ANCQ22,ProtectLairNPCSquadItem,,,B3036D914F08EB9D19E2AAAC762058A4,,,,,,,1,GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/Swamp_ANC_LogicLevel_WP/B3036D914F08EB9D19E2AAAC762058A4.cfg,WorldMap_WP/Swamp_ANC_LogicLevel_WP,
