Faction,LocalizedName,IsAlias,AliasOf,InRelationPrototypes,InRelationsCsv,InPopulationManager,InLairPrototypes,InNPCPrototypes,LairPrototypeCount,PlacedLairCount_ifKnown,SourceFiles,Notes
AlliedMutants,,TRUE,Mutant,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,blocks:NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions
Anamorph,,TRUE,Mutant,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/RelationPrototypes.cfg,refs:NotificationEventPrototypes.cfg
ArenaEnemy,,TRUE,Humanoid,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,blocks:PositiveReactionsExcludedFactions; refs:ObjPrototypes; ObjPrototypes Faction=
ArenaFriend,,TRUE,Humanoid,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,blocks:FactionRollbackCooldowns; refs:ObjPrototypes; ObjPrototypes Faction=
Army,,TRUE,Humanoid,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/DialogPoolPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:DialogPoolPrototypes
AzimuthMilitaries,,TRUE,Militaries,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,
AzimutVarta,,TRUE,Varta,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
Bandits,Bandits,TRUE,Humanoid,TRUE,FALSE,TRUE,TRUE,TRUE,12,59,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/AIGlobals.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/DialogPoolPrototypes/*;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:ExpansionPolicies|PositiveReactionsExcludedFactions; refs:AIGlobals.cfg|DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg|DialogPoolPrototypes|NotificationEventPrototypes.cfg|ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Bayun,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,TRUE,16,4,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,refs:DLCGameData/DLC1/SpawnActorPrototypes.cfg|ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Beaver,,TRUE,Mutant,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/RelationPrototypes.cfg,refs:NotificationEventPrototypes.cfg
Blinddog,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,TRUE,12,24,DLCGameData/DLC1/LairPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,refs:ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Bloodsucker,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,TRUE,16,25,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/*;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/QuestToolCombatTestMap_Deprecated/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,refs:DLCGameData/DLC1/SpawnActorPrototypes.cfg|NotificationEventPrototypes.cfg|ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Boar,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,TRUE,12,12,DLCGameData/DLC1/LairPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/*;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,refs:NotificationEventPrototypes.cfg|ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Burer,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,TRUE,1,8,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,refs:NotificationEventPrototypes.cfg|ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Chimera,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,TRUE,1,2,DLCGameData/DLC1/ObjPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**,refs:DLCGameData/DLC1/ObjPrototypes.cfg|NotificationEventPrototypes.cfg|ObjPrototypes; ObjPrototypes Faction=
CNPP_Archanomaly_PhantomZombie,,TRUE,ArenaFriend,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,DLCGameData/DLC1/ObjPrototypes.cfg;GameLite/GameData/RelationPrototypes.cfg,refs:DLCGameData/DLC1/ObjPrototypes.cfg; ObjPrototypes Faction=
Controller,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,TRUE,6,5,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions; refs:DLCGameData/DLC1/ObjPrototypes.cfg|NotificationEventPrototypes.cfg|ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Corpus,Degtyarev Corps,TRUE,Army,TRUE,FALSE,TRUE,TRUE,TRUE,14,5,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/DialogPrototypes/*;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:ExpansionPolicies|FactionRollbackCooldowns|NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions; refs:DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg|DialogPrototypes|NotificationEventPrototypes.cfg|ObjPrototypes|QuestNodePrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
CorpusStorm,,TRUE,Corpus,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,
CrazyGuardians,,TRUE,Spark,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,
Deer,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,TRUE,6,2,DLCGameData/DLC1/LairPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,refs:NotificationEventPrototypes.cfg|ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
DepoBandits,,TRUE,Bandits,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,blocks:FactionRollbackCooldowns; refs:ObjPrototypes; ObjPrototypes Faction=
DepoVictims,,TRUE,Humanoid,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
Diggers,,TRUE,Neutrals,TRUE,FALSE,TRUE,TRUE,TRUE,3,3,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/DialogPrototypes/*;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/Terricon_Hub_LogicLevel_WP/*,blocks:FactionRollbackCooldowns; refs:DialogPrototypes|ObjPrototypes|QuestNodePrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
DocentBandits,,TRUE,Bandits,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,blocks:FactionRollbackCooldowns
DocileLabMutants,,TRUE,Mutant,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,blocks:FactionRollbackCooldowns
