Source,File,Bytes,Lines,RootNodeCount,DistinctNodeTypes,HasLairNodes,HasFactionWarNodes
Base,GameLite/GameData/QuestNodePrototypes.cfg,197,9,1,1,false,false
Base,GameLite/GameData/QuestNodePrototypes/A-life_interrupts.cfg,24122,739,33,13,false,false
Base,GameLite/GameData/QuestNodePrototypes/AI2QuestBP.cfg,42518,1317,55,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/AI2QuestBPOLD.cfg,32107,1021,48,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/AI_Benchmark.cfg,31778,964,42,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/AI_DailySchedule_Test.cfg,2719,82,6,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/AI_QTC.cfg,45871,1541,51,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/AI_QTC_Blood.cfg,3200,95,6,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/AI_TestMap_BP.cfg,71451,2524,94,5,false,false
Base,GameLite/GameData/QuestNodePrototypes/ALifeGym_QuestBP.cfg,6525,213,9,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ01.cfg,33360,1166,42,17,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ01_P.cfg,11657,362,14,7,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ02.cfg,50492,1584,74,27,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ02_P.cfg,6084,193,10,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ03.cfg,136142,4828,151,25,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ03_P.cfg,35734,1166,34,11,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ04.cfg,9908,320,17,13,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ04_P.cfg,2124,72,4,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ06.cfg,5284,176,11,8,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ06_P.cfg,3880,126,7,5,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ07.cfg,8476,272,15,12,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ07_P.cfg,2109,72,4,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ08.cfg,9348,300,15,10,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ08_P.cfg,16164,506,20,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ10.cfg,5268,176,11,8,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ103.cfg,42013,1478,69,22,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ103_P.cfg,7104,261,13,9,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ10_P.cfg,2241,78,5,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ12.cfg,5202,176,11,8,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ12_P.cfg,2245,78,5,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ13.cfg,4846,160,10,8,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ13_P.cfg,2061,71,4,3,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ14.cfg,18284,571,25,12,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ14_P.cfg,3507,116,7,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ15.cfg,9134,301,16,10,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ15_P.cfg,2281,79,5,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ16.cfg,9234,301,16,10,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ16_P.cfg,2286,79,5,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ17.cfg,8817,284,14,9,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ17_P.cfg,2172,75,5,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ18.cfg,17225,547,22,10,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ18_P.cfg,2245,78,5,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ19.cfg,8060,263,13,9,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ19_P.cfg,2238,78,5,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ20.cfg,6883,229,13,9,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ20_P.cfg,2246,78,5,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ21.cfg,6919,229,13,9,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ21_P.cfg,2241,78,5,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ22.cfg,6968,230,13,9,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ22_P.cfg,2246,78,5,4,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ23.cfg,10774,356,19,10,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ23_P.cfg,9558,314,17,10,true,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ24.cfg,7828,251,14,8,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ24_P.cfg,4610,153,9,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ25.cfg,3551,123,6,6,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ25_P.cfg,7541,263,12,7,false,false
Base,GameLite/GameData/QuestNodePrototypes/ANCQ26.cfg,7540,255,14,9,false,false
