Separation_m,ElevDelta_m,A_Prototype,A_GUID,A_X,A_Y,A_Z,A_Active,B_Prototype,B_GUID,B_X,B_Y,B_Z,B_Active,A_KmToRostok,B_KmToRostok
439,9,Freedom,34682CFA49A888D1309F66BD32AEA3F6,323474,406447,682,true,SmallLivingSpace,4B4F7D4C49BC80D564C1C1B20D92E629,333919,449132,1592,true,0.06,0.39
435,6,SmallLivingSpace,09D3CC394214DCD41E8648A3E9A5E542,287732,428356,1292,true,GuardFreedom,6820F8C143FA8A1DBD0D0084F27E7799,328784,413926,740,true,0.37,0.08
434,9,GuardFreedom,199A4EE94A63054B23292885B4FFD88D,313098,411027,646,true,SmallLivingSpace,4B4F7D4C49BC80D564C1C1B20D92E629,333919,449132,1592,true,0.08,0.39
431,5,GuardFreedom,04E35ED84E9D132C0001AB94529C5414,326059,408675,801,true,SmallLivingSpace,09D3CC394214DCD41E8648A3E9A5E542,287732,428356,1292,true,0.06,0.37
419,6,SmallLivingSpace,09D3CC394214DCD41E8648A3E9A5E542,287732,428356,1292,true,Freedom,34682CFA49A888D1309F66BD32AEA3F6,323474,406447,682,true,0.37,0.06
412,8,GuardFreedom,04E35ED84E9D132C0001AB94529C5414,326059,408675,801,true,SmallLivingSpace,4B4F7D4C49BC80D564C1C1B20D92E629,333919,449132,1592,true,0.06,0.39
401,3,SmallLivingSpace,26017D2349F2D17BD0CD19B3C5B83CB1,366376,441393,1433,true,Bandits,913172664E4AE654DB0EF8B4A72A185B,375569,402378,1169,true,0.54,0.55
384,8,SmallLivingSpace,4B4F7D4C49BC80D564C1C1B20D92E629,333919,449132,1592,true,Neutrals,53058FDB49365D62210A6B881F0636B0,321331,412861,754,true,0.39,0.01
382,8,SmallLivingSpace,4B4F7D4C49BC80D564C1C1B20D92E629,333919,449132,1592,true,Freedom,CB58606D44997ADDE6E19F9EF76833FC,321442,413048,752,true,0.39,0.01
370,5,SmallLivingSpace,09D3CC394214DCD41E8648A3E9A5E542,287732,428356,1292,true,Freedom,CB58606D44997ADDE6E19F9EF76833FC,321442,413048,752,true,0.37,0.01
370,5,SmallLivingSpace,09D3CC394214DCD41E8648A3E9A5E542,287732,428356,1292,true,Neutrals,53058FDB49365D62210A6B881F0636B0,321331,412861,754,true,0.37,0.01
369,4,SmallLivingSpace,4B4F7D4C49BC80D564C1C1B20D92E629,333919,449132,1592,true,Neutrals,CB940C134B4D34714B6921ACD4954648,320298,414856,1161,true,0.39,0.03
