Separation_m,ElevDelta_m,A_Faction,A_Prototype,A_GUID,A_X,A_Y,A_Z,A_Active,B_Faction,B_Prototype,B_GUID,B_X,B_Y,B_Z,B_Active,Relation,RelationVia,A_may_attack_B,B_may_attack_A,A_KmToRostok,B_KmToRostok
600,7,Monolith,Monolith,6DFDB9B843430F45F2FDA789838D051B,423912,598540,2374,false,Militaries,Militaries,AD113E5841C78979B8EA4AAB6E1CDD00,392148,649391,1702,true,-800,Monolith<->Militaries,Monolith->Militaries,,2.13,2.48
599,16,Duty,Duty,BE0FECA74CC2400CCC2E21A00228CC9F,492227,375638,4353,true,Bandits,Bandits,FBF33E574BB156F9E692EF82DD8AF99F,432688,369467,2752,true,-800,Duty<->Bandits,Duty->Bandits,Bandits->Duty,1.75,1.19
598,16,Duty,Duty,29CFF3F0407250867C560FA8F0EEF109,492227,375388,4353,true,Bandits,Bandits,FBF33E574BB156F9E692EF82DD8AF99F,432688,369467,2752,true,-800,Duty<->Bandits,Duty->Bandits,Bandits->Duty,1.75,1.19
598,16,Neutrals,Neutrals,CE17A1A24676695B8F12DB8257E235B1,492227,375098,4353,true,Bandits,Bandits,FBF33E574BB156F9E692EF82DD8AF99F,432688,369467,2752,true,-800,Neutrals<->Bandits,Neutrals->Bandits,Bandits->Neutrals,1.75,1.19
595,23,Militaries,Militaries,9D2697404AC27FADE1D5EDA653F72130,432468,603311,4060,true,Neutrals,GuardNeutrals,D3DF49C048809839216053A65E26FFD9,401320,552660,1730,true,-800,Militaries<->Neutrals,,,2.21,1.62
593,23,Militaries,Militaries,4F447BD742F2EF955B5E2F893FD10171,423746,599334,4060,true,Neutrals,GuardNeutrals,9EF70D664EB9D3F613F48DB7C03DFE69,402960,543790,1730,true,-800,Militaries<->Neutrals,,,2.13,1.55
586,6,Monolith,Monolith,6DFDB9B843430F45F2FDA789838D051B,423912,598540,2374,false,Neutrals,GuardNeutrals,9EF70D664EB9D3F613F48DB7C03DFE69,402960,543790,1730,true,-800,Monolith<->Neutrals,Monolith->Neutrals,Neutrals->Monolith,2.13,1.55
585,23,Militaries,Militaries,4F447BD742F2EF955B5E2F893FD10171,423746,599334,4060,true,Neutrals,GuardNeutrals,E0AF93DE4374FD279D4C6DA13BBEFE4B,394880,548400,1730,true,-800,Militaries<->Neutrals,,,2.13,1.55
585,12,Varta,Varta,609C7B0B47B4419F1AE063B98BA152B3,397060,546550,1130,true,Monolith,Monolith,6DFDB9B843430F45F2FDA789838D051B,423912,598540,2374,false,-800,Varta<->Monolith,Varta->Monolith,Monolith->Varta,1.54,2.13
585,6,Militaries,Militaries,4C4E94C14C3C8E8531B2ACAFD1C0895F,423559,598540,2374,true,Neutrals,GuardNeutrals,9EF70D664EB9D3F613F48DB7C03DFE69,402960,543790,1730,true,-800,Militaries<->Neutrals,,,2.13,1.55
581,9,Monolith,Monolith,33C4403A4552D4773CB5628EE6221964,439368,594001,2374,false,Militaries,Militaries,3E6A5C2241926C10A8F293AEA0ACC3B7,413491,645997,1506,false,-800,Monolith<->Militaries,Monolith->Militaries,,2.17,2.51
579,6,Monolith,Monolith,6DFDB9B843430F45F2FDA789838D051B,423912,598540,2374,false,Neutrals,GuardNeutrals,E0AF93DE4374FD279D4C6DA13BBEFE4B,394880,548400,1730,true,-800,Monolith<->Neutrals,Monolith->Neutrals,Neutrals->Monolith,2.13,1.55
578,6,Militaries,Militaries,4C4E94C14C3C8E8531B2ACAFD1C0895F,423559,598540,2374,true,Neutrals,GuardNeutrals,E0AF93DE4374FD279D4C6DA13BBEFE4B,394880,548400,1730,true,-800,Militaries<->Neutrals,,,2.13,1.55
573,0,Bandits,Bandits,913172664E4AE654DB0EF8B4A72A185B,375569,402378,1169,true,Militaries,Militaries,BDA016D949E3258284283F936E9F92D3,412080,358223,1124,false,-800,Bandits<->Militaries,,,0.55,1.06
572,23,Neutrals,GuardNeutrals,470BDF2241A1D97325889299AB204504,407780,551740,1730,true,Militaries,Militaries,9D2697404AC27FADE1D5EDA653F72130,432468,603311,4060,true,-800,Neutrals<->Militaries,,,1.64,2.21
567,4,Neutrals,Neutrals,2A2EED1A469E97F18C6D2D853907D3A4,320586,416160,751,true,Bandits,Bandits,913172664E4AE654DB0EF8B4A72A185B,375569,402378,1169,true,-800,Neutrals<->Bandits,Neutrals->Bandits,Bandits->Neutrals,0.04,0.55
567,0,Bandits,Bandits,913172664E4AE654DB0EF8B4A72A185B,375569,402378,1169,true,Neutrals,Neutrals,CB940C134B4D34714B6921ACD4954648,320298,414856,1161,true,-800,Bandits<->Neutrals,Bandits->Neutrals,Neutrals->Bandits,0.55,0.03
565,15,Monolith,Monolith,33C4403A4552D4773CB5628EE6221964,439368,594001,2374,false,Neutrals,Neutrals,D0EA64D441AB2ADA2D2FA89F7F33DF1A,403673,550246,878,true,-800,Monolith<->Neutrals,Monolith->Neutrals,Neutrals->Monolith,2.17,1.61
